phase	kind	file	line	target	change	text
p002	c-include	src/kern/platform/pcat.c	23	include/drivers/pci-pcat.h	drivers/pci-pcat.h -> drivers/pci/pci-pcat.h	#include "drivers/pci-pcat.h"
p002	c-include	src/kern/platform/pcat.c	24	include/drivers/hid/ps2-8042.h	drivers/hid/ps2-8042.h -> drivers/platform/pcat/ps2-8042.h	#include "drivers/hid/ps2-8042.h"
p002	c-include	src/kern/platform/pcat.c	26	include/drivers/pci-uhci.h	drivers/pci-uhci.h -> drivers/pci/pci-uhci.h	#include "drivers/pci-uhci.h"
p002	c-include	src/kern/platform/pcat.c	29	include/drivers/pci-ehci.h	drivers/pci-ehci.h -> drivers/pci/pci-ehci.h	#include "drivers/pci-ehci.h"
p002	c-include	src/kern/platform/pcat.c	32	include/drivers/pci-xhci.h	drivers/pci-xhci.h -> drivers/pci/pci-xhci.h	#include "drivers/pci-xhci.h"
p002	c-include	src/kern/platform/pcat.c	35	include/drivers/pci-nvme.h	drivers/pci-nvme.h -> drivers/pci/pci-nvme.h	#include <drivers/pci-nvme.h>
p002	c-include	src/kern/platform/pcat.c	38	include/drivers/pci-intel-ax211.h	drivers/pci-intel-ax211.h -> drivers/wifi/intel-ax211/pci-intel-ax211.h	#include <drivers/pci-intel-ax211.h>
p002	c-include	src/kern/platform/pcat.c	41	include/drivers/venus.h	drivers/venus.h -> drivers/pci/pci-venus.h	#include <drivers/venus.h>
p002	c-include	src/kern/platform/pcat.c	44	include/drivers/i915.h	drivers/i915.h -> drivers/pci/pci-i915.h	#include <drivers/i915.h>
p002	c-include	src/kern/platform/pcat.c	47	include/drivers/usb-storage.h	drivers/usb-storage.h -> drivers/usb/usb-storage.h	#include "drivers/usb-storage.h"
p002	c-include	src/kern/platform/pcat.c	48	include/drivers/usb-uas.h	drivers/usb-uas.h -> drivers/usb/usb-uas.h	#include <drivers/usb-uas.h>
p002	c-include	src/kern/platform/pcat.c	51	include/drivers/usb-cdc-ncm.h	drivers/usb-cdc-ncm.h -> drivers/usb/usb-cdc-ncm.h	#include <drivers/usb-cdc-ncm.h>
p002	c-include	src/kern/platform/pcat.c	54	include/drivers/usb-cdc-ecm.h	drivers/usb-cdc-ecm.h -> drivers/usb/usb-cdc-ecm.h	#include <drivers/usb-cdc-ecm.h>
p002	c-include	src/kern/platform/pcat.c	57	include/drivers/usb-hid.h	drivers/usb-hid.h -> drivers/usb/usb-hid.h	#include <drivers/usb-hid.h>
p002	c-include	src/kern/platform/pcat.c	60	include/drivers/usb-rtl8822bu.h	drivers/usb-rtl8822bu.h -> drivers/usb/usb-rtl8822bu.h	#include <drivers/usb-rtl8822bu.h>
p002	c-include	src/kern/platform/pcat.c	62	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/kern/platform/pcat.c	63	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	src/kern/platform/pcat.c	65	include/drivers/pcat-ne2000.h	drivers/pcat-ne2000.h -> drivers/isa/pcat-ne2000.h	#include "drivers/pcat-ne2000.h"
